"Table","FieldCount","PhysicalName","LogicalDatabase","Connection","KeyFields","FirstFields"
"Pays","11","Pays","Pays","_127_0_0_1_Opentrans","IDPays, Code_Pays, Libelle","IDPays, Code_Pays, Libelle, Control_localite, Pays_par_defaut, Taille_departement, Taille_Num_tel, Indicatif_Telephonique, Code_Gls, Extraction_Dept_gls, Code_Iso"
"ListeFacturation","11","ListeFacturation","EntCompta1","_127_0_0_1_Opentrans","IDListefacturation, Num_compte_client, date_facture, cle_unique_agence","IDListefacturation, Numero_facture, Num_compte_client, Nom_client, f_a, date_facture, Date_echeance, Montant_facture, cle_unique_agence, montant_tva, Montant_HT"
"BornePoids","11","BornePoids","BornePoids","_127_0_0_1_Opentrans","IDBornePoids, cle_unique_agence, code_borne, borne_cle_unique, cle_unique_agencecode_borne","IDBornePoids, cle_unique_agence, code_borne, Borne_de_poids, Type, SANSARRONDI, ARRONDI10, ARRONDI100, PRIX_AU, borne_cle_unique, cle_unique_agencecode_borne"
"internet","11","internet","internet","_127_0_0_1_Opentrans","I1CLEUNIK","I1CLEUNIK, Utilisateur, Mot_de_passe, Nom_connexion, Imprimante, Smtp, Pop3, email_exp, Caractere_d_encadrement, Email_editrack, Port"
"Contact","11","Contact","Contact","_127_0_0_1_Opentrans","Idcontact, cle_unique_agencecode_clients","Idcontact, cle_unique_agence, code_clients, Nom, Prenom, Num_fax, Num_tel, Gsm, Type_contact, cle_unique_agencecode_clients, Email_contact"
"Tournee","11","Tournee","Tournee","_127_0_0_1_Opentrans","IDTournee, cle_unique_agence, Libelle, Agence_tournee, Agence_chauffeur, Code_regroupement, cle_unique_agenceCode_regroupement","IDTournee, code_tourn�e, cle_unique_agence, Libelle, Code_chauffeur, Agence_tournee, Agence_chauffeur, IDClients, Valorisation_journaliere_enlevement, Code_regroupement, cle_unique_agenceCode_regroupement"
"temp_regroup_sasedi","11","temp_regroup_sasedi","temp_regroup_sasedi","_127_0_0_1_Opentrans","IDtemp_regroup_sasedi, IDsasedi, Recepisse, OptimCleComp_Ville_Recep_Numdi_Nom_d_Code__Ad2_Ad1","IDtemp_regroup_sasedi, IDsasedi, Recepisse, Nom_destinataire, Ad1, Ad2, Code_postal, Ville, Qte_taxable, Numdisque, OptimCleComp_Ville_Recep_Numdi_Nom_d_Code__Ad2_Ad1"
"EntCompta","11","EntCompta","EntCompta","_127_0_0_1_Opentrans","IDEntCompta, Numero_de_serie","IDEntCompta, Numero_de_serie, Numero_facture, Num_compte_client, Nom_client, f_a, date_facture, Date_echeance, Montant_facture, IDClients, IDFacture_Entete"
"Expedition_Emballage","11","Expedition_Emballage","Expedition_Emballage","_127_0_0_1_Opentrans","IDExpedition_Emballage, IDExpedition, IDClient_TypeEmballage","IDExpedition_Emballage, IDExpedition, Code_emballage, Libelle, Nombre_unite, Poids, volume, Type_de_marquage, IDEntifiant_equipement, IDEntifiant_regroupement, IDClient_TypeEmballage"
"Expediteurs","11","Expediteurs","Expediteurs","_127_0_0_1_Opentrans","IDExpediteurs, IDClients, IDClientsNomAdresse1Code_postalVille","IDExpediteurs, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_postal, Ville, Telephone, IDClients, IDClientsNomAdresse1Code_postalVille"
"UserCaisse","10","UserCaisse","UserCaisse","_127_0_0_1_Opentrans","IDUserCaisse, IDUtilisateur, date_livre_de_caisse, IDUtilisateurdate_livre_de_caisse, cloture_caisse, IDUtilisateurcloture_caisse, IDUtilisateurdate_livre_de_caisseheure_caisseremise_en_banque","IDUserCaisse, IDUtilisateur, date_livre_de_caisse, Montant_caisse, IDUtilisateurdate_livre_de_caisse, heure_caisse, remise_en_banque, cloture_caisse, IDUtilisateurcloture_caisse, IDUtilisateurdate_livre_de_caisseheure_caisseremise_en_banque"
"Stat_temp","10","Stat_temp","Stattemp","","IDStat_temp, cle_unique_agence","IDStat_temp, cle_unique_agence, code_clients, code_produit, Colis, Poids, Nb_pos, Chiffre_d_affaire, Taxes_Fixe, Avoir"
"Listefac","10","Listefac","Listefac","_127_0_0_1_Opentrans","IDListefac, cle_unique_agence, cle_liste","IDListefac, cle_unique_agence, Compte_payeur, Date_facturation, Date_echeance, Numero_Facture, code_tva, Hors_taxe, cle_liste, Editer"
"Incoterm","10","Incoterm","Incoterm","_127_0_0_1_Opentrans","IDIncoterm, code_incoterm","IDIncoterm, code_incoterm, Libelle_incoterm, Taxation_vd, Taxation_traction, Document_a_fournir, Taxe_additionnelle, facturation_destinataire, Taxation_traction_enlevement, Taxe_additionnelle_enlevement"
"temp_statcli_gen","10","temp_statcli_gen","statcli_gen1","_127_0_0_1_Opentrans","IDtemp_statcli_gen, idclient, AAMM, Numdisque","IDtemp_statcli_gen, idclient, Nb_pos, Nb_colis, Poids, Ca_periode, sst, Nb_Avis_souffrance_periode, AAMM, Numdisque"
"Factor","10","Factor","Factor","_127_0_0_1_Opentrans","IDFactor, cle_unique_agence","IDFactor, cle_unique_agence, Nom, Ad1, Ad2, Code_Pays, Code_Postal, Ville, Num_tel, Commentaire"
"arch_Pci","10","arch_Pci","Pci1","_127_0_0_1_Opentrans","IDPci, Pci_expedition, IDExpedition, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central","IDPci, Pci_expedition, Colis, IDExpedition, Scanee_dechargement, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central, Reference_unique_gls, Colis_totaux"
"Remise","9","Remise","Remise","_127_0_0_1_Opentrans","IDRemise, cle_unique_agence, cle_unique_agenceCode_liste","IDRemise, cle_unique_agence, Code_liste, cle_unique_agenceCode_liste, Libelle, Interface_d_exportation, Repertoire_d_emission, Nom_fichier_emission, repertoire_temporaire"
"EdiCli","9","EdiCli","EdiCli","_127_0_0_1_Opentrans","IDEdiCli, IDClients, Numero_de_serie","IDEdiCli, IDClients, Code_produit, Sel_qte_taxable, Numero_de_serie, Regime_En_Reception, Compte_de_facturation, Code_produit_emetteur, Compte_de_facturation_emis"
"Banque","9","Banque","Banque","_127_0_0_1_Opentrans","IDBanque, Type_factu, Code_validation, Type_factuCode_validation","IDBanque, Type_factu, Code_validation, Compte_payeur, Date_facturation, Date_prelevement, Num_facture, Montant, Type_factuCode_validation"
"Detstatliv","9","Detstatliv","Detstatliv","","IDDetstatliv, IDEntstatliv, IDEntstatlivDate_pointageCode_situationCode_Justification, IDEntstatlivDate_pointagePrioriteCode_situationCode_Justification","IDDetstatliv, IDEntstatliv, Date_pointage, Priorite, Code_situation, Code_Justification, Nb_pos, IDEntstatlivDate_pointageCode_situationCode_Justification, IDEntstatlivDate_pointagePrioriteCode_situationCode_Justification"
"Appareil_Mobile","9","Appareil_Mobile","Appareil_Mobile","_127_0_0_1_Opentrans","IDAppareil_Mobile, Adresse_Mac, IMEI, TypeAutorisation","IDAppareil_Mobile, Adresse_Mac, IMEI, Marque, Mod�le, NumeroTelAssoci�, VersionOS, VersionApplication, TypeAutorisation"
"Defcod","8","Defcod","Defcod","_127_0_0_1_Opentrans","IDDefcod","IDDefcod, Libelle, longueur_code_barre, Identification_debut_code_barre, Identification_fin_code_barre, Valeur_identification_code_barre, Identification_debut_compte_client, Identification_fin_compte_client"
"RemiseCli","8","RemiseCli","EdiCli1","_127_0_0_1_Opentrans","IDRemisecli, IDClients, Numero_de_serie","IDRemisecli, IDClients, Code_produit, Numero_de_serie, Tranche_mini, Tranche_maxi, Taux, Autorise_facture_diverse"
"prospection_Action","8","prospection_action","prospection_Action","_127_0_0_1_Opentrans","IDprospection_Action, DateProchaineAppel, NePlusRelancer, DevenuClient, IDProspection","IDprospection_Action, CreerPar, DateCreation, Commentaire, DateProchaineAppel, NePlusRelancer, DevenuClient, IDProspection"
"Client_TypeEmballage","8","Client_TypeEmballage","Client_TypeEmballage","_127_0_0_1_Opentrans","IDClient_TypeEmballage, IDClients, IDType_Consigne, IDClientsCode_emballage, OptimCleComp_IDCli_IDCli","IDClient_TypeEmballage, IDClients, Code_emballage, Libelle, Consigne, IDType_Consigne, IDClientsCode_emballage, OptimCleComp_IDCli_IDCli"
"betisoc","8","betisoc","betisoc","_127_0_0_1_Opentrans","IDLocalite, Bon_Code_pays","IDLocalite, Bon_Code_pays, Bon_Code_postal, Bonne_Ville, Departement, Pays_errone, code_postal_errone, ville_errone"
"Pres_fac","8","Pres_fac","Pres_fac","_127_0_0_1_Opentrans","IDPres_fac, cle_unique_agence, Libelle","IDPres_fac, cle_unique_agence, Type_prestation, Montant, Libelle_de_facturation, Libelle, Numero_compte, libelle_compte"
"FacDivdet","8","FacDivdet","FacDivdet","_127_0_0_1_Opentrans","IDFacDivdet, IDFac","IDFacDivdet, IDFac, Montant, code_tva, code_produit, Libelle, QTTAX, PU"
"SousTraitance","8","SousTraitance","SousTraitance","_127_0_0_1_Opentrans","IDSousTraitance, IDExpedition, IDExpeditionType_taxation","IDSousTraitance, IDExpedition, Type_taxation, Montant, Taxe_cremb, Taxe_vd, Timbre, IDExpeditionType_taxation"
"Temp_tournee","8","Temp_tournee","Temp_tournee","_127_0_0_1_Opentrans","IDTemp_tournee, code_tourn�ePageIndice, IDChauffeur","IDTemp_tournee, code_tourn�e, date_tournee, Indice, IDExpedition, Page, code_tourn�ePageIndice, IDChauffeur"
"arch_InfoPos","8","arch_InfoPos","InfoPos1","_127_0_0_1_Opentrans","IDInfoPos, IDExpedition","IDInfoPos, IDExpedition, Justifier, Appel_de, Lib_question, Lib_reponse, Date_appel, heure_appel"
"InfoPos","8","InfoPos","InfoPos","_127_0_0_1_Opentrans","IDInfoPos, IDExpedition","IDInfoPos, IDExpedition, Justifier, Appel_de, Lib_question, Lib_reponse, Date_appel, heure_appel"
"Duplicata_facture","8","Duplicata_facture","Duplicata_facture","_127_0_0_1_Opentrans","Idduplicata_facture, IDentete_duplicata, IDFacture_Entete","Idduplicata_facture, IDentete_duplicata, doc_facture, doc_releve, doc_liste, doc_traite, Code_produit, IDFacture_Entete"
"Emarges","8","Emarges","Emarges","_127_0_0_1_Opentrans","idemarge, IDExpedition, UUID_Image","idemarge, IDExpedition, nom_emarge, AAMM_Image, Memo_image, date_scannage, Heure_scannage, UUID_Image"
"arch_emages","7","arch_emages","Emarges1","_127_0_0_1_Opentrans","idemarge, IDExpedition","idemarge, IDExpedition, nom_emarge, AAMM_Image, Memo_image, date_scannage, Heure_scannage"
"Nature","7","Nature","Nature","_127_0_0_1_Opentrans","IDNature, IDExpedition","IDNature, IDExpedition, Nature_machandise, Numero_nature, Designation_nature, Quantite_nature, Poids_nayure"
"GestionNumfac","7","GestionNumfac","GestionNumfac","_127_0_0_1_Opentrans","IDGestionNumfac, OptimCleComp_1","IDGestionNumfac, AA, MM, Numfac, Numfac_sauv, cle_unique_agence, OptimCleComp_1"
"Det_journal_consigne","7","Det_journal_consigne","Det_journal_consigne","_127_0_0_1_Opentrans","IDDet_journal_consigne, IDJournal_consigne, IDExpedition, Date_mvt, OptimCleComp_1","IDDet_journal_consigne, IDJournal_consigne, IDExpedition, Quantite_expediee, Quantite_rendue, Date_mvt, OptimCleComp_1"
"Receserie","7","Receserie","Receserie","_127_0_0_1_Opentrans","IDReceserie","IDReceserie, Paralleleserie, Pcom, Pparite, Pbaud, Pbstop, Ptaillecar"
"Reglement","7","Reglement","Reglement","_127_0_0_1_Opentrans","IDReglement, Code_reglement, Libelle","IDReglement, Code_reglement, Libelle, Echeance, Nombre_de_Jour, Jour_tombee, Edition_traite"
"PreTournee_Entete","7","PreTournee_Entete","PreTournee_Entete","_127_0_0_1_Opentrans","IDPreTournee_Entete, IDTournee, IDutilisateur_Creation, IDChauffeur","IDPreTournee_Entete, IDTournee, IDutilisateur_Creation, IDChauffeur, Date_creation, Heure_Creation, IndiceDePretournee"
"Clicodbarre","6","Clicodbarre","Clicodbarre","_127_0_0_1_Opentrans","IDClicodbarre, IDDefcod, cle_unique_agenceCompte_payeur1","IDClicodbarre, IDDefcod, cle_unique_agence, Compte_payeur, Valeur_code_barre, cle_unique_agenceCompte_payeur1"
"Repas","6","Repas","Repas","_127_0_0_1_Opentrans","IDRepas, iddetas, Traite_as","IDRepas, iddetas, Date_inst, Situation, Justification, Traite_as"
"Affectation","6","Affectation","Affectation","_127_0_0_1_Opentrans","IDAffectation, cle_unique_agence, depot, Code_traction, cle_unique_agencedepot, cle_unique_agenceCode_tractiondepot","IDAffectation, cle_unique_agence, depot, Code_traction, cle_unique_agencedepot, cle_unique_agenceCode_tractiondepot"
"Prestation_pos","6","Prestation_pos","Prestation_pos","_127_0_0_1_Opentrans","IDPrestation_pos, IDExpedition, IDExpeditionCode_Prestation","IDPrestation_pos, Code_Prestation, IDExpedition, Prix_unitaire_prestation, Quantit�, IDExpeditionCode_Prestation"
"Journal_consigne","6","Journal_consigne","Journal_consigne","_127_0_0_1_Opentrans","IDJournal_consigne, IDClients, IDType_Consigne, IDClientsIDType_Consigne","IDJournal_consigne, IDClients, IDType_Consigne, Quantite_expediee, Quantite_rendue, IDClientsIDType_Consigne"
"EXPEDITION_PHOTO","6","EXPEDITION_PHOTO","EXPEDITION_PHOTO","_127_0_0_1_Opentrans","IDEXPEDITION_PHOTO, IDChauffeur, IDExpedition","IDEXPEDITION_PHOTO, Photo, Dateheure, DateHeureReception, IDChauffeur, IDExpedition"
"Tva","6","Tva","Tva","_127_0_0_1_Opentrans","IDTva, code_tva, Valeur_Tva","IDTva, code_tva, Valeur_Tva, Tva_par_defaut, Numero_de_compte, libelle_compte"
"Det_prestation_pos","6","Det_prestation_pos","Det_prestation_pos","_127_0_0_1_Opentrans","IDDet_prestation_pos, IDPrestation_pos, IDMarchandise","IDDet_prestation_pos, IDPrestation_pos, IDMarchandise, code_barre, Quantite, Poids"
"Proddelai","6","Proddelai","Proddelai","_127_0_0_1_Opentrans","IDProddelai, cle_unique_agencecode_clientscode_produit","IDProddelai, cle_unique_agence, code_produit, Delai, code_clients, cle_unique_agencecode_clientscode_produit"
"Detcompta","6","Detcompta","Detcompta","_127_0_0_1_Opentrans","IDDetcompta, IDEntCompta","IDDetcompta, IDEntCompta, Numero_compte, libelle_compte, Montant, b_tva"
"temp_expe_histo","5","temp_expe_histo","temp_expe_histo","_127_0_0_1_Opentrans","IDtemp_expe_histo, IDExpedition, IDHistorique, IDExpeditionIDHistorique1, IDHistoriqueIDExpedition","IDtemp_expe_histo, IDExpedition, IDHistorique, IDExpeditionIDHistorique1, IDHistoriqueIDExpedition"
"Traction","5","Traction","Traction","_127_0_0_1_Opentrans","IDTraction, cle_unique_agence, code_traction, cle_traction","IDTraction, cle_unique_agence, code_traction, cle_traction, Libelle_traction"
"Type_Consigne","5","Type_Consigne","Type_Consigne","_127_0_0_1_Opentrans","IDType_Consigne, Libelle, OptimCleComp_1","IDType_Consigne, Libelle, Consigne, OptimCleComp_1, Type_reception_edi_par_defaut"
"Temp_export_facture","5","Temp_export_facture","Temp_export_facture","_127_0_0_1_Opentrans","IDTemp_export_facture, idclient","IDTemp_export_facture, idclient, IDExpedition, IDAvoir, IDFac"
"Affecremise","5","Affecremise","Affecremise","_127_0_0_1_Opentrans","IDAffecremise, IDRemise, IDRemiseCode_PaysDepartement","IDAffecremise, IDRemise, Code_Pays, Departement, IDRemiseCode_PaysDepartement"
"histo_enlevement","5","histo_enlevement","histo_enlevement","_127_0_0_1_Opentrans","IDhisto_enlevement, IDEnlevement","IDhisto_enlevement, IDEnlevement, Date_histo, Commentaire, Sold�"
"Ra_global","5","Ra_global","Ra_global","","IDRa_global, IDExpedition, IDHistorique, Recepisse, IDEntete_ra_global","IDRa_global, IDExpedition, IDHistorique, Recepisse, IDEntete_ra_global"
"Cli_pres_fac","5","Cli_pres_fac","Cli_pres_fac","_127_0_0_1_Opentrans","IDCli_pres_fac, IDPres_fac, IDClients, IDProduit, IDClientsIDProduitIDPres_fac","IDCli_pres_fac, IDPres_fac, IDClients, IDProduit, IDClientsIDProduitIDPres_fac"
"Compteur","5","Compteur","Compteur","_127_0_0_1_Opentrans","IDCompteur, cle_unique_agence","IDCompteur, cle_unique_agence, Borne_debut, Borne_fin, Compteur_en_cours"
"Cptsac","5","Cptsac","Cptsac","_127_0_0_1_Opentrans","IDCptsac, Cle_compteur","IDCptsac, AA, Quantieme, Compteur, Cle_compteur"
"Expedition_UniteConditionnement","5","Expedition_UniteConditionnement","Expedition_UniteConditionnement","_127_0_0_1_Opentrans","IDExpedition_UniteConditionnement, IDUniteConditionnement, IDExpedition","IDExpedition_UniteConditionnement, IDUniteConditionnement, IDExpedition, Quantite, selecionAutorisee"
"Histo_commercial","5","Histo_commercial","Histo_commercial","_127_0_0_1_Opentrans","IdHisto_commercial, idclient, IDCommercial","IdHisto_commercial, idclient, IDCommercial, Date_debut_attribution, Date_fin_attribution"
"Detcaisse","5","Detcaisse","Detcaisse","_127_0_0_1_Opentrans","IDDetcaisse, IDUserCaisse, IDExpedition, IDUserCaisseIDExpedition","IDDetcaisse, IDUserCaisse, IDExpedition, Montant, IDUserCaisseIDExpedition"
"temp_doc_cr","4","temp_doc_cr","temp_doc_cr","_127_0_0_1_Opentrans","IDtemp_doc_cr","IDtemp_doc_cr, Compte_payeur, IDExpedition, Numdisque"
"tem_fac_incoterm","4","tem_fac_incoterm","tem_fac_incoterm","_127_0_0_1_Opentrans","IDtem_fac_incoterm, code_incoterm, idclient, IDExpedition","IDtem_fac_incoterm, code_incoterm, idclient, IDExpedition"
"Expeditions_AffretesContact","4","Expeditions_AffretesContact","Expeditions_AffretesContact","_127_0_0_1_Opentrans","IDExpeditions_AffretesContact, Idexpedtions, IdAffretesContacts, IdexpedtionsIdAffretesContacts","IDExpeditions_AffretesContact, Idexpedtions, IdAffretesContacts, IdexpedtionsIdAffretesContacts"
"Evenement_defaut","4","Evenement_defaut","Evenement_defaut","_127_0_0_1_Opentrans","IDEvenement_defaut, Type_evenement, Code_situation, Code_Justification","IDEvenement_defaut, Type_evenement, Code_situation, Code_Justification"
"Det_facture_regroup","4","Det_facture_regroup","Det_facture_regroup","_127_0_0_1_Opentrans","IDDet_facture_regroup, IDFacture_regroup, IDExpedition, IDHistorique","IDDet_facture_regroup, IDFacture_regroup, IDExpedition, IDHistorique"
"entete_duplicata","4","entete_duplicata","entete_duplicata","_127_0_0_1_Opentrans","IDentete_duplicata, Code_validation","IDentete_duplicata, Compte_payeur, Date_facturation, Code_validation"
"Tournee_Cout_journalier","4","Tournee_Cout_journalier","Tournee_Cout_journalier","_127_0_0_1_Opentrans","IDTournee_Cout_journalier, IDTournee, Date_application","IDTournee_Cout_journalier, IDTournee, Cout_Journalier, Date_application"
"Commercial","4","Commercial","Commercial","_127_0_0_1_Opentrans","IDCommercial, cle_unique_agence","IDCommercial, Nom, Prenom, cle_unique_agence"
"UniteConditionnement","4","UniteConditionnement","UniteConditionnement","_127_0_0_1_Opentrans","IDUniteConditionnement, LibelleConsign�e","IDUniteConditionnement, Libelle, Consign�e, LibelleConsign�e"
"Affretes_Contact","4","Affretes_Contact","Affretes_Contact","_127_0_0_1_Opentrans","IDAffretes_Contact, IDAffretes","IDAffretes_Contact, IDAffretes, NomPrenom, Email_contact"
"Entete_ra_global","4","Entete_ra_global","Entete_ra_global","","IDEntete_ra_global","IDEntete_ra_global, Compte_payeur, borderau_arrivage, date_bdx_arrivage"
"Tbrecepisse","4","Tbrecepisse","Tbrecepisse","_127_0_0_1_Opentrans","IDTbrecepisse","IDTbrecepisse, NOM_du_wdetat, Format_recepisse, Impression_sur_classe"
"Vehicules","4","Vehicules","Vehicules","_127_0_0_1_Opentrans","IDVehicules, CodeVehicule, Immatriculation","IDVehicules, CodeVehicule, Immatriculation, KmActuel"
"reference_edi","4","reference_edi","reference_edi","_127_0_0_1_Opentrans","Idreference_edi","Idreference_edi, AA, MM, Num_ordre"
"Vehicule","4","Vehicule","Vehicule","_127_0_0_1_Opentrans","IDVehicule, cle_unique_agence, cle_unique_agenceLibelle_Vehicule","IDVehicule, Libelle_Vehicule, cle_unique_agence, cle_unique_agenceLibelle_Vehicule"
"Jferie","4","Jferie","Jferie","_127_0_0_1_Opentrans","IDJferie, date_ferie, Code_Paysdate_ferie","IDJferie, date_ferie, Code_Pays, Code_Paysdate_ferie"
"Prestation","4","Prestation","Prestation","_127_0_0_1_Opentrans","IDPrestation, Code_Prestation, Libelle","IDPrestation, Code_Prestation, Libelle, Prix_unitaire_prestation"
"saspci","4","saspci","Pci","_127_0_0_1_Opentrans","Idsaspci, Pci_expedition, IDExpedition","Idsaspci, Pci_expedition, Colis, IDExpedition"
"FactureEmailFichierJoint","3","FactureEmailFichierJoint","FactureEmailFichierJoint","Connexion1","IDFactureEmailFichierJoint, IDFactureEmailEntete","IDFactureEmailFichierJoint, IDFactureEmailEntete, FichierJoint"
"BaseDeDonee","3","BaseDeDonee","BaseDeDonee","Connexion1","IDBaseDeDonee","IDBaseDeDonee, Nom, NomDansBdd"
"ProForfaitMensuel","3","ProForfaitMensuel","ProForfaitMensuel","_127_0_0_1_Opentrans","IDProFOrfaitMensuel, Code_produit, IDClients","IDProFOrfaitMensuel, Code_produit, IDClients"
"Type_etat","3","Type_etat","Type_etat","_127_0_0_1_Opentrans","IDType_etat, Libelle","IDType_etat, Libelle, Nom_etat"
"PreTournee_Detail","3","PreTournee_Detail","PreTournee_Detail","_127_0_0_1_Opentrans","IDPreTournee_Detail, IDPreTournee_Entete, IDExpedition","IDPreTournee_Detail, IDPreTournee_Entete, IDExpedition"
"CompteurAffretement","3","CompteurAffretement","CompteurAffretement","_127_0_0_1_Opentrans","IDCompteurAffretement, cle_unique_agence","IDCompteurAffretement, cle_unique_agence, CompteurAffretement"
"Payspro","3","Payspro","Payspro","_127_0_0_1_Opentrans","IDPayspro, IDProduit","IDPayspro, IDProduit, Code_pays"
"SCREQ","3","SCREQ","SCREQ","_127_0_0_1_Opentrans","IDSCREQ, Pci","IDSCREQ, Pci, Type_screq"
"Secteur","3","Secteur","Secteur","_127_0_0_1_Opentrans","Idescteur, Code_secteur","Idescteur, Code_secteur, libelle_secteur"
"Detmail","3","Detmail","Detmail","Connexion1","IDDetmail, IDEntmail","IDDetmail, IDEntmail, Fic_mail"
"Expedition_Facture_Accompte","3","Expedition_Facture_Accompte","Expedition_Facture_Accompte","_127_0_0_1_Opentrans","IDExpedition_Facture_Accompte, IDExpedition, IDFacture_Entete","IDExpedition_Facture_Accompte, IDExpedition, IDFacture_Entete"
"FacEmarge","3","FacEmarge","FacEmarge","_127_0_0_1_Opentrans","IDFacEmarge, cle_unique_agence","IDFacEmarge, cle_unique_agence, emarge"
"Rel_sac","3","Rel_sac","Rel_sac","_127_0_0_1_Opentrans","IDRel_sac","IDRel_sac, code_sac, pci"
"Impliv","3","Impliv","Impliv","_127_0_0_1_Opentrans","IDImpliv, Date_liv, IDExpedition","IDImpliv, Date_liv, IDExpedition"
"FactureEmailEntete","3","FactureEmailEntete","FactureEmailEntete","Connexion1","IDFactureEmailEntete, IDClients","IDFactureEmailEntete, IDClients, AdEmailDestinataire"
"Regroupement_tournee","3","Regroupement_tournee","Regroupement_tournee","_127_0_0_1_Opentrans","IDRegroupement_tournee, code","IDRegroupement_tournee, code, Libelle"
"Param_Editrack","2","Param_Editrack","Param_Editrack","_127_0_0_1_Opentrans","IDParam_Editrack","IDParam_Editrack, Gestion_Fret_aerien"
"Optimizer","2","Optimizer","Optimizer","_127_0_0_1_Opentrans","IDOptimizer, Libelle","IDOptimizer, Libelle"
"Etiq_driver","2","Etiq_driver","Etiq_driver","_127_0_0_1_Opentrans","IDEtiq_driver","IDEtiq_driver, Nom_etat"
"Marchandise","2","Marchandise","Marchandise","_127_0_0_1_Opentrans","IDMarchandise, Nature_marchandise","IDMarchandise, Nature_marchandise"
"Reseau","2","Reseau","Reseau","_127_0_0_1_Opentrans","IDReseau, code_reseau","IDReseau, code_reseau"
